Instruction,Type,OpCode,NumOfOperands,FunCode
AND,R,0000,3,000
OR,R,0000,3,001
NOR,R,0000,3,010
XOR,R,0000,3,011
SLL,R,0000,3,100
SRL,R,0000,3,101
SRA,R,0000,3,110
ROL,R,0000,3,111
ADD,R,0001,3,000
SUB,R,0001,3,001
SLT,R,0001,3,010
SLTU,R,0001,3,011
SLTE,R,0001,3,100
SLTEU,R,0001,3,101
JR,R,0001,1,110
JALR,R,0001,2,111
LW,I,0010,3,-
SW,I,0011,3,-
ANDI,I,0110,3,-
ORI,I,0111,3,-
ADDI,I,1000,3,-
BEQ,I,0100,3,-
BNE,I,0101,3,-
BLT,I,1101,3,-
BGT,I,1111,3,-
BLTZ,I,1100,2,-
BLEZ,I,1100,2,-
BGTZ,I,1110,2,-
BGEZ,I,1110,2,-
J,J,1001,1,-
JAL,J,1011,1,-
LUI,J,1010,1,-
